1,Topoablo11,10,11,3,8,2
2,Dude7597,10,7,3,8,2
3,Monsanto,6,7,3,8,9
4,HotMeowth,1,2,3,4,5
5,Rooftrellen,10,11,14,8,15
6,Pascoa,10,7,3,4,5
7,Abar,10,11,13,8,5
8,Tarei,12,2,13,4,5
