Aggro Mage,1,0.5,0.375,0.3881118881,0.5153144347,0.4345959596,0.4707792208,0.5476190476,0.6857142857,0.1817204301,0.5595959596,0.459936407,0.5815412186,0.1960276091,0.5554711246,0.3134689922,0.4127659574,0.4,0.2913060582,0.5801387368,0.4751876564,0.5065867497,0.6562833654,0.3825,0.3722222222,0.5952790755,0.3684935701,0.6375,0.4168610075,0.4365431392,0.5679974916
Aggro Paladin,2,0.625,0.5,0.5694444444,0.5378378378,0.4305555556,0.5654761905,0.25,0.7,0.5425806452,0.6820652174,0.6642857143,0.5604395604,0.5647058824,0.5944444444,0.4285714286,0.4422222222,0.4318181818,0.494047619,0.4832653061,0.5523809524,0.3241326896,0.4555585392,0.4611344538,0.2818181818,0.6196078431,0.4867080195,0.625,0.5222782682,0.4406352555,0.401001705
Aggro Shaman,3,0.6118881119,0.4305555556,0.5,0.46875,0.4892769608,0.4523809524,0.9,0.875,0.6108695652,0.4277777778,0.5100806452,0.1666666667,0.5768115942,0.6,0.3743315508,0.351875,0.7083333333,0.5190697674,0.737745098,0.5471544715,0.3751361162,0.5724019167,0.4421906694,0.5858585859,0.5357142857,0.4889552239,0.3,0.4988095238,0.5305286672,0.5187693039
Anyfin Paladin,4,0.4846855653,0.4621621622,0.53125,0.5,0.4947705803,0.4443974987,0.525,0.515037594,0.6335981496,0.6018456934,0.5915364168,0.5954248366,0.6340867052,0.6557989049,0.6399129544,0.4898394132,0.5441176471,0.3992477359,0.3566538654,0.3540605096,0.4312956873,0.401305047,0.4240316285,0.5464450803,0.566716086,0.4731981263,0.4807692308,0.4081719128,0.4359320443,0.4943262411
Beast Druid,5,0.5654040404,0.5694444444,0.5107230392,0.5052294197,0.5,0.4835858586,0.7817460317,0.4568181818,0.5460784314,0.5705128205,0.6222096237,0.5192307692,0.5819590336,0.5419047619,0.6130952381,0.4808080808,0.5461538462,0.575265252,0.6532012195,0.5477453581,0.4152908998,0.5145833333,0.5083462733,0.383125,0.5439244663,0.4542426367,0.4060606061,0.507888076,0.5272150833,0.4659143358
C'Thun Druid,6,0.5292207792,0.4345238095,0.5476190476,0.5556025013,0.5164141414,0.5,0.4978991597,0.5,0.5358139535,0.6001602564,0.4861111111,0.6063348416,0.5891900665,0.5739942529,0.5546813533,0.518877551,0.5,0.5435571688,0.620650954,0.4066604128,0.4109208171,0.4398112084,0.5184615385,0.4007142857,0.5077833126,0.4919952814,0.4583333333,0.4883643617,0.4976190476,0.4224089636
C'Thun Priest,7,0.4523809524,0.75,0.1,0.475,0.2182539683,0.5021008403,0.5,0.5,0.5378787879,0.3246753247,0.5138888889,0.45,0.6408045977,0.4285714286,0.4871794872,0.5625,0.3333333333,0.6,0.425,0.1818181818,0.2582752613,0.2296296296,0.5175438596,0.45,0.4058823529,0.4222222222,0.3333333333,0.253968254,0.3206896552,0.4719551282
C'Thun Warlock,8,0.3142857143,0.3,0.125,0.484962406,0.5431818182,0.5,0.5,0.5,0.4816176471,0.3958333333,0.5978021978,0.7556818182,0.7136054422,0.6181818182,0.7166666667,0.4583333333,0.75,0.5767263427,0.4462365591,0.269005848,0.5005162043,0.3929950359,0.6339285714,0.5642857143,0.4316239316,0.5437037037,0,0.4444444444,0.3814699793,0.4285714286
C'Thun Warrior,9,0.8182795699,0.4574193548,0.3891304348,0.3664018504,0.4539215686,0.4641860465,0.4621212121,0.5183823529,0.5,0.4375,0.5308333333,0.5534941249,0.6007315735,0.4546777547,0.5406162465,0.4973684211,0.5618421053,0.5461152882,0.8758196721,0.3129032258,0.3936866874,0.4447926267,0.440743338,0.55946255,0.4814814815,0.4391304348,0.417211329,0.5157608696,0.5133722573,0.5488026973
Control Paladin,10,0.4404040404,0.3179347826,0.5722222222,0.3981543066,0.4294871795,0.3998397436,0.6753246753,0.6041666667,0.5625,0.5,0.5006895193,0.6157894737,0.5971452328,0.4914529915,0.531986532,0.5284574468,0.6136363636,0.4437412096,0.4115740741,0.3581235698,0.3916760734,0.3349407141,0.4666101695,0.5541666667,0.4551963993,0.4943181818,0.630952381,0.3843177421,0.4370804822,0.4308974359
Control Priest,11,0.540063593,0.3357142857,0.4899193548,0.4084635832,0.3777903763,0.5138888889,0.4861111111,0.4021978022,0.4691666667,0.4993104807,0.5,0.515692018,0.5683284113,0.3935771214,0.5366638079,0.4002209131,0.4437331536,0.3595238095,0.460100494,0.3956548204,0.3889226255,0.3838329957,0.4354437193,0.414985015,0.4285034273,0.4182427936,0.5619694397,0.4215347849,0.383165949,0.5027187145
Control Shaman,12,0.4184587814,0.4395604396,0.8333333333,0.4045751634,0.4807692308,0.3936651584,0.55,0.2443181818,0.4465058751,0.3842105263,0.484307982,0.5,0.4073411408,0.4305555556,0.5279761905,0.5608108108,0.5735294118,0.5015634772,0.2157823129,0.5178571429,0.4989893332,0.3804996857,0.7219298246,0.6,0.3593889384,0.6410818713,0.4642857143,0.4270571326,0.4014652015,0.6726658049
Control Warrior,13,0.8039723909,0.4352941176,0.4231884058,0.3659132948,0.4180409664,0.4108099335,0.3591954023,0.2863945578,0.3992684265,0.4028547672,0.4316715887,0.5926588592,0.5,0.3400382226,0.4598749572,0.4594877632,0.5289556962,0.5689127548,0.8071559777,0.3004098361,0.4952707239,0.4652594949,0.5683431567,0.4505263158,0.4144769044,0.3325530987,0.3589285714,0.4686249086,0.4689933259,0.5831838961
Dragon Paladin,14,0.4445288754,0.4055555556,0.4,0.3442010951,0.4580952381,0.4260057471,0.5714285714,0.3818181818,0.5453222453,0.5085470085,0.6064228786,0.5694444444,0.6599617774,0.5,0.5396825397,0.5035842294,0.4833333333,0.4464285714,0.450748621,0.4553571429,0.3860457921,0.4002950857,0.5055504163,0.5297619048,0.4343268916,0.5044123978,0.55,0.4691780822,0.4349606815,0.452047952
Dragon Priest,15,0.6865310078,0.5714285714,0.6256684492,0.3600870456,0.3869047619,0.4453186467,0.5128205128,0.2833333333,0.4593837535,0.468013468,0.4633361921,0.4720238095,0.5401250428,0.4603174603,0.5,0.3832236842,0.5505050505,0.5426497278,0.3928062678,0.5401548137,0.4109738449,0.3484824781,0.5907726932,0.2428571429,0.4372735507,0.4766580534,0.3777777778,0.4048292683,0.436607236,0.5299301366
Dragon Warrior,16,0.5872340426,0.5577777778,0.648125,0.5101605868,0.5191919192,0.481122449,0.4375,0.5416666667,0.5026315789,0.4715425532,0.5997790869,0.4391891892,0.5405122368,0.4964157706,0.6167763158,0.5,0.4227272727,0.6309994147,0.7068944699,0.4543800828,0.4039298608,0.4849256422,0.5839694656,0.502764977,0.4816026553,0.4285417079,0.431372549,0.5128559103,0.534030244,0.5560643061
Evolve Shaman,17,0.6,0.5681818182,0.2916666667,0.4558823529,0.4538461538,0.5,0.6666666667,0.25,0.4381578947,0.3863636364,0.5562668464,0.4264705882,0.4710443038,0.5166666667,0.4494949495,0.5772727273,0.5,0.4118773946,0.3397660819,0.431372549,0.4246007098,0.473880597,0.5166666667,0.65,0.31875,0.4596774194,0.3,0.356396217,0.4385294118,0.547462406
Face Hunter,18,0.7086939418,0.505952381,0.4809302326,0.6007522641,0.424734748,0.4564428312,0.4,0.4232736573,0.4538847118,0.5562587904,0.6404761905,0.4984365228,0.4310872452,0.5535714286,0.4573502722,0.3690005853,0.5881226054,0.5,0.7673001949,0.5945108455,0.5187142966,0.715542522,0.4070720549,0.433048433,0.5381197894,0.5510619469,0.50625,0.4767946652,0.5020023344,0.428423913
Freeze Mage,19,0.4198612632,0.5167346939,0.262254902,0.6433461346,0.3467987805,0.379349046,0.575,0.5537634409,0.1241803279,0.5884259259,0.539899506,0.7842176871,0.1928440223,0.549251379,0.6071937322,0.2931055301,0.6602339181,0.2326998051,0.5,0.3307164179,0.5758847148,0.5875963126,0.3072182355,0.3229166667,0.677827381,0.3498403084,0.5799689441,0.2833353191,0.357263733,0.5748431826
Midrange Hunter,20,0.5248123436,0.4476190476,0.4528455285,0.6459394904,0.4522546419,0.5933395872,0.8181818182,0.730994152,0.6870967742,0.6418764302,0.6043451796,0.4821428571,0.6995901639,0.5446428571,0.4598451863,0.5456199172,0.568627451,0.4054891545,0.6692835821,0.5,0.3704298786,0.4543825582,0.3899676375,0.5119047619,0.6126960136,0.4315500289,0.4487179487,0.5082909668,0.5114811094,0.4106485415
Midrange Shaman,21,0.4934132503,0.6758673104,0.6248638838,0.5687043127,0.5847091002,0.5890791829,0.7417247387,0.4994837957,0.6063133126,0.6083239266,0.6110773745,0.5010106668,0.5047292761,0.6139542079,0.5890261551,0.5960701392,0.5753992902,0.4812857034,0.4241152852,0.6295701214,0.5,0.5739286618,0.6143405123,0.5843366586,0.5347318496,0.5945590058,0.6512092108,0.5662380033,0.5241591116,0.5576342798
Miracle Rogue,22,0.3437166346,0.5444414608,0.4275980833,0.598694953,0.4854166667,0.5601887916,0.7703703704,0.6070049641,0.5552073733,0.6650592859,0.6161670043,0.6195003143,0.5347405051,0.5997049143,0.6515175219,0.5150743578,0.526119403,0.284457478,0.4124036874,0.5456174418,0.4260713382,0.5,0.3106891836,0.5280830281,0.5680453819,0.412326698,0.5142679901,0.4612437192,0.4982027207,0.4764216427
Pirate Warrior,23,0.6175,0.5388655462,0.5578093306,0.5759683715,0.4916537267,0.4815384615,0.4824561404,0.3660714286,0.559256662,0.5333898305,0.5645562807,0.2780701754,0.4316568433,0.4944495837,0.4092273068,0.4160305344,0.4833333333,0.5929279451,0.6927817645,0.6100323625,0.3856594877,0.6893108164,0.5,0.3694736842,0.4403494403,0.6063399941,0.6107142857,0.480159682,0.5256754115,0.4749119718
Ramp Druid,24,0.6277777778,0.7181818182,0.4141414141,0.4535549197,0.616875,0.5992857143,0.55,0.4357142857,0.44053745,0.4458333333,0.585014985,0.4,0.5494736842,0.4702380952,0.7571428571,0.497235023,0.35,0.566951567,0.6770833333,0.4880952381,0.4156633414,0.4719169719,0.6305263158,0.5,0.6401515152,0.4681818182,0.5238095238,0.5343314404,0.5158106219,0.4422268908
Reno Warlock,25,0.4047209245,0.3803921569,0.4642857143,0.433283914,0.4560755337,0.4922166874,0.5941176471,0.5683760684,0.5185185185,0.5448036007,0.5714965727,0.6406110616,0.5855230956,0.5656731084,0.5627264493,0.5183973447,0.68125,0.4618802106,0.322172619,0.3873039864,0.4652681504,0.4319546181,0.5596505597,0.3598484848,0.5,0.4552316804,0.3474801061,0.4324366431,0.3920394737,0.4416551464
Secret Hunter,26,0.6315064299,0.5132919805,0.5110447761,0.5268018737,0.5457573633,0.5080047186,0.5777777778,0.4562962963,0.5608695652,0.5056818182,0.5817572064,0.3589181287,0.6674469013,0.4955876022,0.5233419466,0.5714582921,0.5403225806,0.4489380531,0.6501596916,0.5684499711,0.4054409942,0.587673302,0.3936600059,0.5318181818,0.5447683196,0.5,0.4195804196,0.556454518,0.5639378767,0.4068996508
Secret Paladin,27,0.3625,0.375,0.7,0.5192307692,0.5939393939,0.5416666667,0.6666666667,1,0.582788671,0.369047619,0.4380305603,0.5357142857,0.6410714286,0.45,0.6222222222,0.568627451,0.7,0.49375,0.4200310559,0.5512820513,0.3487907892,0.4857320099,0.3892857143,0.4761904762,0.6525198939,0.5804195804,0.5,0.6014634146,0.3872126437,0.4379928315
Spell Druid,28,0.5831389925,0.4777217318,0.5011904762,0.5918280872,0.492111924,0.5116356383,0.746031746,0.5555555556,0.4842391304,0.6156822579,0.5784652151,0.5729428674,0.5313750914,0.5308219178,0.5951707317,0.4871440897,0.643603783,0.5232053348,0.7166646809,0.4917090332,0.4337619967,0.5387562808,0.519840318,0.4656685596,0.5675633569,0.443545482,0.3985365854,0.5,0.5256941346,0.3946073055
Tempo Mage,29,0.5634568608,0.5593647445,0.4694713328,0.5640679557,0.4727849167,0.5023809524,0.6793103448,0.6185300207,0.4866277427,0.5629195178,0.616834051,0.5985347985,0.5310066741,0.5650393185,0.563392764,0.465969756,0.5614705882,0.4979976656,0.642736267,0.4885188906,0.4758408884,0.5017972793,0.4743245885,0.4841893781,0.6079605263,0.4360621233,0.6127873563,0.4743058654,0.5,0.4360661765
Zoo Warlock,30,0.4320025084,0.598998295,0.4812306961,0.5056737589,0.5340856642,0.5775910364,0.5280448718,0.5714285714,0.4511973027,0.5691025641,0.4972812855,0.3273341951,0.4168161039,0.547952048,0.4700698634,0.4439356939,0.452537594,0.571576087,0.4251568174,0.5893514585,0.4423657202,0.5235783573,0.5250880282,0.5577731092,0.5583448536,0.5931003492,0.5620071685,0.6053926945,0.5639338235,0.5
